file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,98,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,1,15
style.css,99,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,1,6
style.css,100,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,0
style.css,101,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,0
style.css,102,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,2
style.css,103,css,9e727c26,SupriyaaChordia,2025-04-25,19:18:14,-07:00,2025-04-25T19:18:14-07:00,1,14
style.css,104,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,0
style.css,105,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,0
style.css,106,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,2
style.css,107,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,1,14
style.css,108,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,0
style.css,109,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,0
style.css,110,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,0,22
style.css,111,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,1,15
style.css,112,css,73f250ce,SupriyaaChordia,2025-04-12,00:37:39,-07:00,2025-04-12T00:37:39-07:00,1,17
style.css,113,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,114,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,115,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,11
style.css,116,css,bc81a67b,SupriyaaChordia,2025-04-19,22:55:47,-07:00,2025-04-19T22:55:47-07:00,1,23
style.css,117,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,118,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,119,css,bc81a67b,SupriyaaChordia,2025-04-19,22:55:47,-07:00,2025-04-19T22:55:47-07:00,0,0
style.css,120,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,18
style.css,121,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,1,10
style.css,122,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,123,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,124,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,14
style.css,125,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,1,15
style.css,126,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,1,17
style.css,127,css,ac9ea8fe,SupriyaaChordia,2025-04-12,02:12:03,-07:00,2025-04-12T02:12:03-07:00,1,18
style.css,128,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,129,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,130,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,13
style.css,131,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,1,8
style.css,132,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,1,9
style.css,133,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,0
style.css,134,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,0,0
style.css,135,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,0,19
style.css,136,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,1,11
style.css,137,css,0e9357c7,SupriyaaChordia,2025-04-12,01:43:34,-07:00,2025-04-12T01:43:34-07:00,1,15
style.css,138,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,0,0
style.css,139,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,0,0
style.css,140,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,0,13
style.css,141,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,1,17
style.css,142,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,1,8
style.css,143,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,1,10
style.css,144,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,1,13
style.css,145,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,1,19
style.css,146,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,0,0
style.css,147,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,0,0
style.css,148,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,0,31
style.css,149,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,1,12
style.css,150,css,87bbdcb3,SupriyaaChordia,2025-04-19,21:59:14,-07:00,2025-04-19T21:59:14-07:00,0,0
style.css,151,css,6e031b86,SupriyaaChordia,2025-04-25,19:03:13,-07:00,2025-04-25T19:03:13-07:00,0,0
style.css,152,css,6e031b86,SupriyaaChordia,2025-04-25,19:03:13,-07:00,2025-04-25T19:03:13-07:00,0,17
style.css,153,css,6e031b86,SupriyaaChordia,2025-04-25,19:03:13,-07:00,2025-04-25T19:03:13-07:00,1,12
style.css,154,css,6e031b86,SupriyaaChordia,2025-04-25,19:03:13,-07:00,2025-04-25T19:03:13-07:00,1,36
style.css,155,css,6e031b86,SupriyaaChordia,2025-04-25,19:03:13,-07:00,2025-04-25T19:03:13-07:00,0,0
style.css,156,css,6e031b86,SupriyaaChordia,2025-04-25,19:03:13,-07:00,2025-04-25T19:03:13-07:00,0,0
